FUNCIÓN_DENOMINACIÓN,TIPO_URG,CENTRO_GESTOR,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12,EJERCIDO_ENERO_AGOSTO
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE DESARROLLO RURAL Y EQUIDAD PARA LAS COMUNIDADES DEL DISTRITO FEDERAL,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE DESARROLLO SOCIAL DEL DISTRITO FEDERAL,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE DESARROLLO URBANO Y VIVIENDA DEL DISTRITO FEDERAL,,,,,,,,,,,,,"5,980"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE EDUCACIÓN DEL DISTRITO FEDERAL,,,,,,,,,,,,,"898,431"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE FINANZAS DEL DISTRITO FEDERAL,,,,,,,,,,,,,"34,472,454"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE MEDIO AMBIENTE DEL DISTRITO FEDERAL,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE MOVILIDAD DEL DISTRITO FEDERAL,,,,,,,,,,,,,"16,281"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE PROTECCIÓN CIVIL DEL DISTRITO FEDERAL,,,,,,,,,,,,,"42,413,454"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE SALUD DEL DISTRITO FEDERAL,,,,,,,,,,,,,79
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE SEGURIDAD PÚBLICA DEL DISTRITO FEDERAL,,,,,,,,,,,,,"8,053,278,016"
